nodenumber,    x-coordinate,    y-coordinate,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      x-velocity,      y-velocity,        pressure
       111, 1.241463287E-01, 0.000000000E+00, 1.241463287E-01, 0.000000000E+00, 5.655066424E-07, 2.673942156E-10, 0.000000000E+00, 0.000000000E+00, 2.659094990E-01
       112, 1.247829969E-01, 0.000000000E+00, 1.247829969E-01, 0.000000000E+00, 5.761260947E-07, 2.724221614E-10, 0.000000000E+00, 0.000000000E+00, 2.696687613E-01
       113, 1.254196650E-01, 0.000000000E+00, 1.254196650E-01, 0.000000000E+00, 6.034547680E-07, 2.853502724E-10, 0.000000000E+00, 0.000000000E+00, 2.734391138E-01
       114, 1.260563332E-01, 0.000000000E+00, 1.260563332E-01, 0.000000000E+00, 5.945685146E-07, 2.811515659E-10, 0.000000000E+00, 0.000000000E+00, 2.771907051E-01
       115, 1.266930013E-01, 0.000000000E+00, 1.266930013E-01, 0.000000000E+00, 5.768029966E-07, 2.727527340E-10, 0.000000000E+00, 0.000000000E+00, 2.809231160E-01
       116, 1.273296695E-01, 0.000000000E+00, 1.273296695E-01, 0.000000000E+00, 5.645511218E-07, 2.669619624E-10, 0.000000000E+00, 0.000000000E+00, 2.846512470E-01
       117, 1.279663376E-01, 0.000000000E+00, 1.279663376E-01, 0.000000000E+00, 5.970875680E-07, 2.823507671E-10, 0.000000000E+00, 0.000000000E+00, 2.883930109E-01
       118, 1.286030058E-01, 0.000000000E+00, 1.286030058E-01, 0.000000000E+00, 6.435977598E-07, 3.043452324E-10, 0.000000000E+00, 0.000000000E+00, 2.921627082E-01
       119, 1.292396739E-01, 0.000000000E+00, 1.292396739E-01, 0.000000000E+00, 6.730033814E-07, 3.182535250E-10, 0.000000000E+00, 0.000000000E+00, 2.959646135E-01
       120, 1.298763421E-01, 0.000000000E+00, 1.298763421E-01, 0.000000000E+00, 6.985461551E-07, 3.303362059E-10, 0.000000000E+00, 0.000000000E+00, 2.997147857E-01
       121, 1.305130102E-01, 0.000000000E+00, 1.305130102E-01, 0.000000000E+00, 6.850756845E-07, 3.239685894E-10, 0.000000000E+00, 0.000000000E+00, 3.033864320E-01
       122, 1.311496784E-01, 0.000000000E+00, 1.311496784E-01, 0.000000000E+00, 6.257445464E-07, 2.959161759E-10, 0.000000000E+00, 0.000000000E+00, 3.069829726E-01
